elevation_m,slope_deg,annual_rainfall_mm,soil_moisture_index,land_use,geology,distance_to_stream_m,lineament_density_index,groundwater_depth_m,recharge_suitability
473.5,8.2,1096,0.48,forest,clay,634,0.61,11.4,64.2
880.1,17.5,2445,0.66,forest,sandstone,872,0.62,9.7,77.9
317.6,12.1,1000,0.38,agriculture,sandstone,585,0.5,22.6,50.5
802.5,16.2,2255,0.93,barren,sandstone,240,0.51,12.1,71.0
283.7,10.8,525,0.43,agroforestry,clay,1461,0.95,27.5,45.1
359.7,7.0,575,0.14,agriculture,clay,908,0.52,24.2,26.1
405.6,4.5,696,0.36,barren,clay,1255,0.62,26.1,35.4
1023.3,14.9,1835,0.83,forest,fractured_rock,836,0.43,11.2,70.3
392.7,11.3,978,0.44,agriculture,shale,290,0.09,25.3,46.8
546.1,25.2,1039,0.59,agroforestry,fractured_rock,389,0.9,30.8,59.7
919.3,11.3,1848,0.77,forest,shale,1250,0.25,7.4,66.7
855.1,30.6,2598,0.76,grassland,fractured_rock,152,0.62,8.5,70.7
439.2,6.1,664,0.28,barren,sandstone,1256,0.24,33.7,32.9
827.8,13.3,1104,0.44,agroforestry,fractured_rock,168,0.63,26.8,74.7
418.6,11.2,662,0.38,barren,clay,264,0.67,21.8,47.1
450.3,6.5,660,0.65,agriculture,shale,342,0.69,23.6,42.8
617.1,5.8,1098,0.64,agroforestry,fractured_rock,903,0.56,20.0,66.2
670.3,19.7,1879,0.77,agroforestry,weathered_granite,1414,0.44,10.1,68.1
394.4,8.1,454,0.16,barren,clay,1337,0.23,34.4,23.8
582.5,12.6,693,0.64,agroforestry,clay,1311,0.71,22.2,30.1
388.9,15.3,1112,0.38,agroforestry,weathered_granite,1416,0.67,8.2,56.7
647.3,15.4,2791,0.89,forest,sandstone,1195,0.47,9.8,70.6
508.8,4.8,727,0.32,agriculture,sandstone,632,0.51,17.2,44.3
680.6,25.3,2536,0.85,settlement,weathered_granite,643,0.14,6.7,56.5
523.9,4.6,856,0.54,agriculture,shale,850,0.88,8.7,55.8
518.3,6.4,800,0.63,settlement,shale,521,0.88,11.9,45.5
928.3,13.8,2024,0.76,agroforestry,fractured_rock,1212,0.5,3.6,77.2
617.8,23.2,2563,0.78,grassland,clay,1498,0.34,13.8,55.2
550.5,24.4,995,0.75,grassland,shale,651,0.21,28.1,39.2
958.2,25.5,2147,0.87,forest,weathered_granite,172,0.53,4.2,82.5
846.4,11.2,1053,0.73,forest,weathered_granite,142,0.5,13.7,67.2
442.0,16.4,959,0.44,forest,weathered_granite,286,0.36,10.8,54.9
362.1,17.7,763,0.43,agriculture,clay,1032,0.87,15.8,45.9
1009.7,27.9,1985,0.63,settlement,weathered_granite,710,0.43,10.3,51.5
776.2,5.2,1343,0.72,agroforestry,shale,546,0.93,36.7,61.3
835.7,18.5,2235,0.89,forest,sandstone,184,0.25,9.9,77.6
780.7,29.7,2292,0.85,forest,fractured_rock,1454,0.08,17.2,54.3
253.1,7.1,567,0.29,agriculture,weathered_granite,1012,0.63,29.2,41.4
676.3,19.1,975,0.5,forest,weathered_granite,392,0.3,36.5,50.8
650.7,5.4,716,0.37,forest,sandstone,1498,0.75,22.6,58.0
531.2,7.3,1066,0.74,agriculture,sandstone,1458,0.42,32.6,57.3
469.9,18.6,1027,0.47,agroforestry,shale,1182,0.5,34.0,38.1
596.5,11.0,1324,0.46,agriculture,weathered_granite,387,0.09,26.9,63.4
336.3,19.5,1022,0.43,agroforestry,clay,371,0.75,10.8,48.6
623.7,6.5,762,0.35,agroforestry,fractured_rock,88,0.52,11.8,59.3
430.2,10.2,517,0.44,agriculture,shale,933,0.59,49.3,38.0
635.8,22.9,2648,0.75,agriculture,fractured_rock,1173,0.71,13.7,72.9
386.9,16.6,921,0.21,forest,weathered_granite,1391,0.65,30.4,45.3
736.5,24.0,2681,0.8,agroforestry,weathered_granite,721,0.64,12.9,67.9
415.8,15.8,1321,0.32,grassland,sandstone,313,0.76,24.1,56.6
598.2,20.2,671,0.26,forest,fractured_rock,1200,0.19,35.2,34.3
446.9,15.5,1139,0.33,forest,sandstone,1111,0.89,21.2,55.6
690.0,14.7,1606,0.62,forest,sandstone,1019,0.88,17.7,61.3
1013.2,26.8,1854,0.75,agroforestry,fractured_rock,559,0.21,9.7,71.1
897.0,31.8,2081,0.66,forest,fractured_rock,1123,0.77,3.5,61.1
581.1,13.6,1283,0.3,forest,sandstone,797,0.29,13.5,59.5
350.7,15.9,796,0.48,grassland,sandstone,1312,0.44,11.6,48.5
662.5,13.1,1142,0.62,forest,fractured_rock,1215,0.84,31.4,63.2
772.2,20.1,2491,0.65,forest,weathered_granite,1131,0.48,8.3,75.5
368.7,3.4,689,0.12,agriculture,clay,135,0.63,28.1,44.4
266.8,7.9,481,0.42,agroforestry,clay,910,0.08,44.9,32.9
817.2,26.4,2044,0.81,agriculture,sandstone,31,0.44,15.6,63.2
767.8,8.8,1016,0.32,forest,sandstone,433,0.9,21.5,64.8
383.4,8.2,797,0.23,agriculture,sandstone,988,0.29,11.4,48.1
858.2,20.7,2442,0.73,forest,fractured_rock,264,0.45,15.2,78.7
441.1,12.0,609,0.2,barren,sandstone,52,0.29,36.5,36.9
515.6,16.1,855,0.63,forest,weathered_granite,50,0.95,31.7,61.2
392.9,9.7,677,0.18,barren,clay,993,0.78,45.7,24.6
575.5,9.2,1277,0.32,settlement,sandstone,491,0.86,27.1,55.1
624.9,6.4,1037,0.62,barren,fractured_rock,1425,0.74,32.2,53.3
436.3,6.6,1217,0.71,settlement,fractured_rock,263,0.26,22.2,56.3
308.4,13.2,823,0.42,agroforestry,clay,1062,0.75,30.9,42.9
914.9,16.3,2732,0.75,forest,sandstone,1402,0.54,4.0,75.5
410.7,10.1,478,0.44,grassland,weathered_granite,836,0.54,20.3,37.6
260.1,11.3,453,0.16,settlement,weathered_granite,773,0.91,34.3,34.0
704.8,23.2,2768,0.69,forest,sandstone,381,0.22,5.9,66.3
987.3,27.9,2256,0.67,agroforestry,weathered_granite,1464,0.73,10.3,66.1
505.8,12.6,1393,0.59,barren,shale,617,0.73,32.2,54.4
713.2,8.6,2453,0.78,settlement,fractured_rock,1102,0.86,11.1,69.3
788.5,25.5,2254,0.74,forest,weathered_granite,217,0.07,6.6,77.1
